#DATA: COVID-19 DEATH RATES
# values measure COVID Deaths per 100,000 population (!!- NOT per 100k infections -!!)
# https://ourworldindata.org/covid-deaths-by-vaccination

Entity,Code,Day,Fully vaccinated (all vaccines),Johnson&Johnson,Pfizer/BioNTech,Moderna,Unvaccinated
12-17,,2021-04-10,0,,,,0.0226214
12-17,,2021-04-17,0,,,,0.046141
12-17,,2021-04-24,0,,,,0
12-17,,2021-05-01,0,,,,0.0239911
12-17,,2021-05-08,0,,,,0.0242903
12-17,,2021-05-15,0,,,,0.016598
12-17,,2021-05-22,0,,,,0.0366884
12-17,,2021-05-29,0,,,,0.0195408
12-17,,2021-06-05,0,,,,0.0202163
12-17,,2021-06-12,0,,,,0.0104329
12-17,,2021-06-19,0,,,,0.0535936
12-17,,2021-06-26,0,,,,0.0329487
12-17,,2021-07-03,0,,,,0.011241
12-17,,2021-07-10,0,,,,0.057259
12-17,,2021-07-17,0,,,,0.0468631
12-17,,2021-07-24,0,,,,0.096436747
12-17,,2021-07-31,0.0243086,,,,0.162609701
12-17,,2021-08-07,0,,,,0.28770735
12-17,,2021-08-14,0,,,,0.301479263
12-17,,2021-08-21,0.0432702,,,,0.299237031
12-17,,2021-08-28,0,,,,0.383723285
12-17,,2021-09-04,0,,,,0.289563565
12-17,,2021-09-11,0,,,,0.437091934
12-17,,2021-09-18,0,,,,0.223601131
12-17,,2021-09-25,0.0169834,,,,0.292812383
12-17,,2021-10-02,0.016384,,,,0.18177005
12-17,,2021-10-09,0,,,,0.251269076
12-17,,2021-10-16,0,,,,0.084778884
12-17,,2021-10-23,0,,,,0.0514067
12-17,,2021-10-30,0.0150574,,,,0.0173016
18-29,,2021-04-10,0,,,,0.085829005
18-29,,2021-04-17,0,,,,0.133660072
18-29,,2021-04-24,0,,,,0.107248157
18-29,,2021-05-01,0,,,,0.081734638
18-29,,2021-05-08,0,,,,0.100474823
18-29,,2021-05-15,0,,,,0.13046196
18-29,,2021-05-22,0.0144481,,,,0.089646054
18-29,,2021-05-29,0,,,,0.0403068
18-29,,2021-06-05,0,,,,0.076263779
18-29,,2021-06-12,0.010166,,,,0.053714
18-29,,2021-06-19,0,,,,0.0606609
18-29,,2021-06-26,0,,,,0.092365869
18-29,,2021-07-03,0,,,,0.0624557
18-29,,2021-07-10,0,,,,0.202243755
18-29,,2021-07-17,0,,,,0.172938838
18-29,,2021-07-24,0,,,,0.442372954
18-29,,2021-07-31,0.0081929,,,,0.637843917
18-29,,2021-08-07,0.008064,,,,0.790621646
18-29,,2021-08-14,0.0238489,,,,0.986642056
18-29,,2021-08-21,0,,,,0.868959225
18-29,,2021-08-28,0,,,,0.743870233
18-29,,2021-09-04,0.015147,,,,0.845370874
18-29,,2021-09-11,0.00741404,,,,0.661459951
18-29,,2021-09-18,0.02176,,,,0.785416574
18-29,,2021-09-25,0.00712123,,,,0.583511438
18-29,,2021-10-02,0,,,,0.332829111
18-29,,2021-10-09,0,,,,0.304618786
18-29,,2021-10-16,0.0202142,,,,0.341904319
18-29,,2021-10-23,0.0066456,,,,0.244740051
18-29,,2021-10-30,0.00656673,,,,0.170783153
30-49,,2021-04-10,0.0542849,,,,0.530268217
30-49,,2021-04-17,0.0451018,,,,0.519186483
30-49,,2021-04-24,0.0240623,,,,0.517630078
30-49,,2021-05-01,0.0196503,,,,0.56868893
30-49,,2021-05-08,0.0166521,,,,0.504778064
30-49,,2021-05-15,0.01423,,,,0.412046323
30-49,,2021-05-22,0.00614371,,,,0.309008825
30-49,,2021-05-29,0,,,,0.347175453
30-49,,2021-06-05,0.00505462,,,,0.263783352
30-49,,2021-06-12,0.0095584,,,,0.293658431
30-49,,2021-06-19,0.0276913,,,,0.234489037
30-49,,2021-06-26,0.0089483,,,,0.355393866
30-49,,2021-07-03,0.0260867,,,,0.44906663
30-49,,2021-07-10,0.0340993,,,,0.753700434
30-49,,2021-07-17,0.0377777,,,,1.089816626
30-49,,2021-07-24,0.0622049,,,,1.98326783
30-49,,2021-07-31,0.147482329,,,,2.975077707
30-49,,2021-08-07,0.121548656,,,,3.766135212
30-49,,2021-08-14,0.128352476,,,,4.841559373
30-49,,2021-08-21,0.087349754,,,,4.920513968
30-49,,2021-08-28,0.105977982,,,,4.223569659
30-49,,2021-09-04,0.135334448,,,,4.428695053
30-49,,2021-09-11,0.110155255,,,,3.880830654
30-49,,2021-09-18,0.093228657,,,,3.555575685
30-49,,2021-09-25,0.088151777,,,,2.892993804
30-49,,2021-10-02,0.093871149,,,,2.404205892
30-49,,2021-10-09,0.032001,,,,1.928138215
30-49,,2021-10-16,0.06323075,,,,1.647168342
30-49,,2021-10-23,0.0451676,,,,1.46825541
30-49,,2021-10-30,0.0309813,,,,1.200445827
50-64,,2021-04-10,0.130216545,,,,3.005766729
50-64,,2021-04-17,0.203720786,,,,2.901790166
50-64,,2021-04-24,0.154913302,,,,2.923699075
50-64,,2021-05-01,0.165434557,,,,2.558660433
50-64,,2021-05-08,0.187424535,,,,2.328194616
50-64,,2021-05-15,0.0564759,,,,1.959964565
50-64,,2021-05-22,0.08535347,,,,1.543073766
50-64,,2021-05-29,0.095768755,,,,1.431290881
50-64,,2021-06-05,0.101190947,,,,1.295173994
50-64,,2021-06-12,0.063466128,,,,1.29521781
50-64,,2021-06-19,0.0620432,,,,1.218263197
50-64,,2021-06-26,0.079575676,,,,1.420716355
50-64,,2021-07-03,0.11501188,,,,1.695788134
50-64,,2021-07-10,0.11361109,,,,2.717963834
50-64,,2021-07-17,0.207093101,,,,3.935882095
50-64,,2021-07-24,0.335132698,,,,6.629057341
50-64,,2021-07-31,0.492268262,,,,10.486479506
50-64,,2021-08-07,0.642941084,,,,14.166929318
50-64,,2021-08-14,0.774350976,,,,16.732490844
50-64,,2021-08-21,0.743166519,,,,18.39126408
50-64,,2021-08-28,0.67717551,,,,17.758756653
50-64,,2021-09-04,0.636368711,,,,17.01744165
50-64,,2021-09-11,0.591154579,,,,15.026689935
50-64,,2021-09-18,0.630336045,,,,12.632600583
50-64,,2021-09-25,0.442643131,,,,11.631929634
50-64,,2021-10-02,0.393233548,,,,9.525297792
50-64,,2021-10-09,0.312633834,,,,7.996055641
50-64,,2021-10-16,0.326560087,,,,7.119009739
50-64,,2021-10-23,0.256374512,,,,5.480777432
50-64,,2021-10-30,0.203183883,,,,5.248451422
65-79,,2021-04-10,0.485325117,,,,10.332745507
65-79,,2021-04-17,0.383574014,,,,11.384426816
65-79,,2021-04-24,0.320451469,,,,11.48960102
65-79,,2021-05-01,0.38116953,,,,8.980376416
65-79,,2021-05-08,0.308056249,,,,9.362048574
65-79,,2021-05-15,0.292703585,,,,7.26445405
65-79,,2021-05-22,0.273516559,,,,6.239338677
65-79,,2021-05-29,0.208684084,,,,5.4885955
65-79,,2021-06-05,0.152545608,,,,4.412059597
65-79,,2021-06-12,0.179601499,,,,3.765409433
65-79,,2021-06-19,0.137850503,,,,3.884698046
65-79,,2021-06-26,0.267900697,,,,4.422234998
65-79,,2021-07-03,0.237764228,,,,5.316701274
65-79,,2021-07-10,0.377396879,,,,7.978053883
65-79,,2021-07-17,0.763123708,,,,12.127257915
65-79,,2021-07-24,1.336727241,,,,19.799430927
65-79,,2021-07-31,1.951084201,,,,30.005446922
65-79,,2021-08-07,2.384103531,,,,39.800295365
65-79,,2021-08-14,2.886948643,,,,48.633924316
65-79,,2021-08-21,2.834362507,,,,53.086689735
65-79,,2021-08-28,2.951708615,,,,54.128228098
65-79,,2021-09-04,2.664339299,,,,51.076147805
65-79,,2021-09-11,2.432332881,,,,46.913347284
65-79,,2021-09-18,2.219057308,,,,43.6377256
65-79,,2021-09-25,1.826471484,,,,35.79592871
65-79,,2021-10-02,1.67334192,,,,30.684245047
65-79,,2021-10-09,1.441653805,,,,28.509873648
65-79,,2021-10-16,1.290727864,,,,25.724490894
65-79,,2021-10-23,1.205412355,,,,23.250322559
65-79,,2021-10-30,1.000063284,,,,21.367921418
80+,,2021-04-10,1.653049243,,,,25.569929373
80+,,2021-04-17,2.147309743,,,,23.138890038
80+,,2021-04-24,1.731073076,,,,21.854381196
80+,,2021-05-01,1.661545725,,,,18.90339602
80+,,2021-05-08,1.324045678,,,,17.51193945
80+,,2021-05-15,1.215687478,,,,12.757320299
80+,,2021-05-22,0.952517412,,,,9.575613482
80+,,2021-05-29,0.759549283,,,,9.384378811
80+,,2021-06-05,0.928238843,,,,6.727389364
80+,,2021-06-12,0.860619032,,,,5.829866284
80+,,2021-06-19,0.990991499,,,,5.948923889
80+,,2021-06-26,1.043027592,,,,6.376382375
80+,,2021-07-03,0.960756554,,,,7.241242622
80+,,2021-07-10,1.780294438,,,,10.939110022
80+,,2021-07-17,3.301797036,,,,14.514781625
80+,,2021-07-24,4.911961655,,,,26.754636937
80+,,2021-07-31,8.146701393,,,,39.078068649
80+,,2021-08-07,10.533183696,,,,49.529730319
80+,,2021-08-14,12.419532958,,,,60.778740089
80+,,2021-08-21,13.429925685,,,,64.884382916
80+,,2021-08-28,12.061643466,,,,60.544171562
80+,,2021-09-04,10.822322043,,,,58.716278915
80+,,2021-09-11,10.707422393,,,,51.166885353
80+,,2021-09-18,9.401300954,,,,49.493383181
80+,,2021-09-25,8.816199683,,,,39.829583727
80+,,2021-10-02,6.75354501,,,,37.03722643
80+,,2021-10-09,6.66062229,,,,36.772372289
80+,,2021-10-16,5.605398679,,,,32.933330589
80+,,2021-10-23,5.089738684,,,,31.90319809
80+,,2021-10-30,5.328418536,,,,28.701487771
All ages,,2021-04-10,0.458968684,1.023283923,0.594949794,0.229640033,1.981090314
All ages,,2021-04-17,0.473927357,0.817694918,0.542961526,0.344295297,1.979659374
All ages,,2021-04-24,0.354046472,0.773356217,0.372889622,0.244735989,1.948972191
All ages,,2021-05-01,0.342634906,0.686621056,0.35982387,0.241190956,1.668298137
All ages,,2021-05-08,0.272175461,0.508936933,0.248982078,0.246098277,1.595146476
All ages,,2021-05-15,0.205722931,0.281146246,0.236579687,0.153976349,1.261165776
All ages,,2021-05-22,0.173770406,0.407240823,0.148114754,0.162214697,1.020768051
All ages,,2021-05-29,0.134406166,0.23102389,0.12198295,0.132738233,0.953516163
All ages,,2021-06-05,0.130891962,0.291858746,0.120322114,0.114630575,0.780716434
All ages,,2021-06-12,0.121640129,0.156455647,0.136647283,0.096272441,0.721508217
All ages,,2021-06-19,0.122146561,0.201781156,0.140463424,0.08390466,0.709816594
All ages,,2021-06-26,0.150663367,0.325619834,0.146243737,0.123276293,0.835568643
All ages,,2021-07-03,0.150158252,0.3002101,0.164358814,0.102405207,0.982953225
All ages,,2021-07-10,0.231379997,0.246910646,0.258383877,0.192969213,1.569534342
All ages,,2021-07-17,0.430298627,0.66640152,0.481217577,0.315754568,2.238612582
All ages,,2021-07-24,0.686290763,1.164252261,0.764904158,0.485407285,3.89036544
All ages,,2021-07-31,1.073048456,1.750561209,1.186133282,0.784483468,5.925289353
All ages,,2021-08-07,1.330145898,1.815120271,1.462557051,1.050580511,7.803658111
All ages,,2021-08-14,1.576781911,2.635171026,1.660776383,1.245914636,9.563596123
All ages,,2021-08-21,1.595864383,2.300269569,1.666754786,1.357471273,10.275020837
All ages,,2021-08-28,1.513545532,1.947411813,1.565826833,1.353037979,9.885462015
All ages,,2021-09-04,1.370604755,2.140355162,1.398176186,1.172207831,9.616373363
All ages,,2021-09-11,1.284717686,1.734958755,1.304573455,1.164174445,8.596075145
All ages,,2021-09-18,1.162494342,1.756888949,1.142312709,1.071892424,7.849869004
All ages,,2021-09-25,0.993459445,1.25114533,0.95010299,1.007921871,6.632702066
All ages,,2021-10-02,0.827607674,1.002289704,0.798704294,0.837834998,5.58876446
All ages,,2021-10-09,0.732597599,0.771850129,0.719658527,0.747545683,5.004000042
All ages,,2021-10-16,0.657363931,0.974418905,0.607717461,0.668297055,4.441179238
All ages,,2021-10-23,0.585159678,0.696822656,0.545967617,0.6239691,3.872126406
All ages,,2021-10-30,0.540844055,0.717851624,0.48136797,0.596605088,3.465885148
